Dados da medição do campo magnético (Gauss),,,,Incerteza ,0.01G
40mm,20.9,,,,
37.5mm,24.1,,,,
35mm,27.5,,,,
32.5mm,31.0,,,,
30mm,34.5,,,,
27.5mm,37.8,,,,
25mm,41.0,,,,
22.5mm,43.8,,,,
20mm,46.2,,,,
17.5mm,48.4,,,,
15mm,50.2,,,,
12.5mm,51.7,,,,
10mm,53.1,,,,
7.5mm,54.2,,,,
5mm,55.0,,,,
2.5mm,55.8,39mm,55.8,,
0mm,56.4,36.5mm,56.3,,
,,34mm,56.9,,
,,33mm,57.0,,
,,32mm,57.2,,
,,31mm,57.3,,
,,30mm,57.5,,
,,29mm,57.6,,
,,28mm,57.7,,
,,27mm,57.8,,
,,26mm,57.9,,
,,25mm,58.0,,
,,24mm,58.0,,
,,23mm,58.0,,
,,22mm,58.0,,
,,21mm,58.0,,
,,20mm,58.1,,
